DTYYYYMMDD,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,OPENINT,OPENINT
20090922,11402.8,11479.8,11402.8,11479.8,228032424,5.85E+11,22139,11451.8
20090923,11491.3,11583,11491.3,11583,92689350,2.12E+11,12733,11479.8
20090926,11625.3,11633.4,11620.4,11620.4,203580538,3.98E+11,19935,11583
20090927,11676.6,11676.6,11588.2,11588.2,168217494,3.52E+11,18546,11620.4
20090928,11586.7,11586.7,11559.1,11559.1,95153987,2.03E+11,15794,11588.2
20090929,11573.4,11599.3,11553.4,11555,97085462,1.99E+11,12779,11559.1
20090930,11558.7,11567.2,11531.4,11535.8,100599468,2.05E+11,14439,11555
20091003,11574.5,11657.3,11574.5,11657.3,123364127,2.50E+11,18251,11535.8
20091004,11679.6,11733.4,11679.6,11717.3,224368884,4.96E+11,28354,11657.3
20091005,11728.7,11738.2,11728.7,11738.2,163666703,3.61E+11,19074,11717.3
20091006,11760,11792.8,11737.4,11792.8,162739488,3.47E+11,16682,11738.2
20091007,11822.3,11891.1,11822.3,11891.1,135981973,4.10E+11,16464,11792.8
20091010,11920.8,11962.5,11920.8,11957.9,174881498,4.43E+11,19096,11891.1
20091011,11963.3,11963.9,11925.2,11925.4,268445276,6.41E+11,32174,11957.9
20091012,11940.3,11940.3,11912.3,11912.3,266983782,6.87E+11,29229,11925.4
20091013,11900.4,11927.6,11893.6,11918.3,195138366,5.49E+11,24529,11912.3
20091017,11923.9,11924.6,11905.6,11917.8,93096167,2.67E+11,12256,11918.3
20091018,11927.1,11927.4,11914.1,11914.1,150217105,4.22E+11,19960,11917.8
20091019,11919.9,11977.1,11919.9,11976.4,733693184,1.01E+12,14857,11914.1
20091020,12012,12077.3,12012,12077.3,195831153,3.37E+11,17401,11976.4
20091021,12111.2,12177.6,12111.2,12176.3,123466088,2.98E+11,15320,12077.3
20091024,12200.3,12243.6,12200.3,12242.8,173731148,4.52E+11,24052,12176.3
20091025,12267,12325.8,12266.3,12325.8,143500650,3.80E+11,15880,12242.8
20091026,12325.5,12342.6,12308.9,12342.6,316888496,8.01E+11,29944,12325.8
20091027,12354.9,12356,12328.4,12345.1,146043758,3.60E+11,19267,12342.6
20091028,12348.2,12408.4,12342.9,12408.4,143371148,3.74E+11,17182,12345.1
20091031,12427.9,12491.2,12427.9,12482.4,117885944,3.11E+11,14390,12408.4
20091101,12505.6,12545,12505.6,12545,142239650,3.31E+11,18895,12482.4
20091102,12529.3,12537.9,12515.5,12529.5,353981617,8.12E+11,40935,12545
20091103,12514.6,12514.6,12483.6,12483.6,146879227,4.63E+11,11456,12529.5
20091104,12494.4,12531.3,12477,12506,178275406,4.71E+11,12586,12483.6
20091107,12524.8,12581.5,12524.8,12576.9,143771292,3.65E+11,9286,12506
20091108,12584.5,12584.5,12547.2,12565.9,272878479,5.73E+11,14702,12576.9
20091109,12593.9,12633.6,12581.5,12581.5,180012897,3.66E+11,10404,12565.9
20091110,12566.2,12566.2,12426.1,12426.1,120574061,2.71E+11,8184,12581.5
20091111,12417.8,12423.5,12379.2,12381.4,173085005,3.68E+11,10851,12426.1
20091114,12416.9,12442.1,12402.7,12403.1,118169715,2.61E+11,8049,12381.4
20091115,12432.3,12441.9,12361.7,12361.7,179667661,3.57E+11,10419,12403.1
20091116,12372.6,12373.2,12325.3,12325.4,141351286,2.73E+11,9301,12361.7
20091117,12319.6,12319.6,12241.5,12241.9,207081137,3.64E+11,11610,12325.4
20091118,12231.8,12231.8,12174,12176.4,109837906,2.32E+11,7979,12241.9
20091121,12175.3,12175.3,12086.7,12086.7,95913578,2.10E+11,10912,12176.4
20091122,12065,12065,12003,12003,70603627,1.74E+11,6728,12086.7
20091123,11982.9,11996.4,11976.3,11996.3,168924731,3.10E+11,11189,12003
20091124,12002.3,12072.6,12002.3,12072.6,110786502,3.30E+11,8648,11996.3
20091125,12083.9,12125.1,12083.9,12113.4,199777729,5.16E+11,12945,12072.6
20091129,12104.9,12104.9,12027.6,12027.6,46862742,1.06E+11,4461,12113.4
20091130,12013.3,12013.3,11964.8,11964.9,45709448,1.04E+11,4114,12027.6
20091201,11955,11957.8,11928.9,11928.9,90285138,2.53E+11,5456,11964.9
20091202,11922.9,11937.5,11914.6,11914.6,174708614,4.94E+11,7348,11928.9
20091205,11903.4,11905,11901.3,11905,45420003,91061171475,4252,11914.6
20091207,11913.8,11946.4,11913.8,11944.5,74558639,1.87E+11,7445,11905
20091208,11946,11948,11909.6,11909.6,49420338,1.08E+11,4730,11944.5
20091209,11908.4,11908.4,11836.1,11836.3,62245083,1.31E+11,5377,11909.6
20091212,11827.1,11827.1,11753.1,11753.1,58909129,1.24E+11,4255,11836.3
20091213,11731,11731,11677.4,11677.4,67076167,1.57E+11,5877,11753.1
20091214,11670.6,11674,11629,11629.1,51705628,1.16E+11,4408,11677.4
20091215,11608,11608,11359.4,11362.5,57535901,1.41E+11,5200,11629.1
20091216,11352.2,11352.2,11254.7,11265.3,65160799,1.40E+11,5058,11362.5
20091219,11226.6,11226.6,11195.8,11209.6,63701196,1.62E+11,4999,11265.3
20091220,11205,11255.7,11201.3,11255.7,119924118,2.08E+11,6192,11209.6
20091221,11277.6,11289.5,11243.6,11274.9,111043421,2.44E+11,6151,11255.7
20091222,11276.4,11277,11234.6,11234.6,90768639,2.08E+11,6234,11274.9
20091223,11223.5,11229.8,11220.1,11221.3,72087840,1.37E+11,5062,11234.6
20091228,11223.8,11228.5,11196.9,11196.9,50090757,1.07E+11,4173,11221.3
20091229,11195.6,11195.6,11178.5,11178.5,47204550,91379522417,4212,11196.9
20091230,11180.1,11207.5,11180.1,11207.5,49605347,1.03E+11,4928,11178.5
20100102,11208.5,11295.2,11208.5,11295.2,60896653,1.13E+11,4192,11207.5
20100103,11323.3,11366.2,11323.3,11351.1,114461675,2.25E+11,7601,11295.2
20100104,11346.5,11346.5,11305.1,11305.1,61449150,1.57E+11,8257,11351.1
20100105,11301.8,11325.5,11301.8,11307.4,71811764,1.29E+11,6104,11305.1
20100106,11318.9,11375.4,11318.9,11375.4,99254905,1.98E+11,6953,11307.4
20100109,11379.6,11449.7,11379.6,11449.6,429407966,6.11E+11,4814,11375.4
20100110,11478.1,11592.6,11478.1,11592.3,223412973,5.07E+11,15888,11449.6
20100111,11595.3,11658.9,11591,11656.8,124379073,3.02E+11,9981,11592.3
20100112,11683.7,11685.4,11646.2,11646.2,103456954,2.14E+11,7933,11656.8
20100113,11644,11644,11598.4,11599.9,92521763,2.22E+11,5877,11646.2
20100116,11601.8,11625.3,11601.8,11614.9,98448731,2.00E+11,6142,11599.9
20100117,11627,11640.3,11620.7,11620.7,78153960,1.68E+11,6987,11614.9
20100118,11619,11619,11584,11584,45248638,98565614547,4815,11620.7
20100119,11587.6,11587.6,11567.9,11569.2,44018920,1.03E+11,4730,11584
20100120,11567.8,11572.9,11566.8,11569.2,58259151,1.21E+11,6432,11569.2
20100123,11569.8,11617.9,11569.8,11617.8,73506264,1.55E+11,6707,11569.2
20100124,11627.2,11685.5,11627.2,11684.9,93333057,1.86E+11,7824,11617.8
20100125,11699.3,11720.6,11699.3,11705.1,445619815,6.13E+11,6249,11684.9
20100126,11710.7,11769.2,11710.7,11752.5,107587956,1.94E+11,7405,11705.1
20100127,11763.7,11810.1,11763.7,11802.9,119204547,2.06E+11,7123,11752.5
20100130,11775.9,11775.9,11736.4,11750.1,112657334,2.33E+11,7741,11802.9
20100131,11749.8,11751.4,11724.7,11724.7,237608985,3.91E+11,6773,11750.1
20100201,11727.2,11730,11709.6,11709.6,88697347,2.42E+11,7526,11724.7
20100202,11719.3,11724.4,11719.3,11721.3,60425186,1.34E+11,5415,11709.6
20100203,11737.1,11763.2,11737.1,11751.7,73980704,1.47E+11,5801,11721.3
20100206,11751.5,11751.5,11715.5,11715.5,73631665,1.21E+11,5360,11751.7
20100207,11704.3,11708.3,11686.1,11686.3,96447538,2.39E+11,7497,11715.5
20100208,11684.4,11684.4,11666.7,11666.8,85408487,1.57E+11,7076,11686.3
20100209,11664.6,11669.4,11660.6,11660.7,60620921,1.12E+11,5586,11666.8
20100210,11663.8,11694.7,11663.8,11694.1,85678765,1.91E+11,7920,11660.7
